state,retail_recreation,supermarket_pharmacy,parks,public_transport,workplaces,residential
Andaman and Nicobar Islands,3,0,-33,17,14,16
Andhra Pradesh,-38,16,-36,28,-27,18
Arunachal Pradesh,-29,11,11,-22,-26,7
Assam,-35,-7,-20,-27,-18,19
Bihar,-36,8,-13,-21,-33,18
Chandigarh,-55,-42,-61,-35,-36,16
Chhattisgarh,-75,-50,-54,-68,-61,35
Dadra and Nagar Haveli,-56,3,-58,-26,-26,19
Daman and Diu,-56,-18,-55,-39,-19,17
Delhi,-76,-49,-69,-69,-72,28
Goa,-51,4,-68,-37,-36,19
Gujarat,-61,-26,-57,-44,-44,23
Haryana,-43,-9,-41,-43,-40,19
Himachal Pradesh,-35,2,-17,-1,-20,14
Jammu and Kashmir,250,546,210,356,110,14
Jharkhand,-62,-30,-36,-43,-47,25
Karnataka,-75,-43,-57,-58,-64,32
Kerela,-39,15,-20,-31,-27,22
Lakshadweep,0,0,-16,0,-46,0
Madhya Pradesh,-69,-43,-49,-56,-60,30
Maharashtra,-69,-29,-56,-54,-53,28
Manipur,-39,-15,-20,-18,-26,14
Meghalaya,-31,-14,-28,-3,-15,15
Mizoram,-72,-63,-42,-60,-54,17
Nagaland,-29,-21,-22,-4,-28,9
Odisha,-36,2,-15,-35,-23,19
Puducherry,-54,-12,-38,-29,-33,19
Punjab,-38,-4,-35,-38,-25,11
Rajasthan,-60,-23,-25,-38,-49,24
Sikkim,-26,-40,-49,-43,-25,16
Tamil Nadu,-33,21,-24,-17,-27,17
Telangana,-46,5,-37,-31,-41,20
Tripura,-24,15,-6,-20,-9,14
Uttar Pradesh,-37,14,-22,-31,-45,21
Uttarakhand,-54,-17,-42,-31,-41,23
West Bengal,-42,-4,-28,-29,-34,19